4396 Montgomery Rd,Fast Food Restaurant,Ellicott City,US,39.250777,-76.813101,POINT(-76.813101 39.250777),McDonald's,21043
226 Belle Hill Rd,Fast food restaurants,Elkton,US,39.635133,-75.805571,POINT(-75.805571 39.635133),McDonald's,21921
1880 S Alma School Rd Ste 6,Fast Food Restaurants,Chandler,US,33.27772,-111.85887,POINT(-111.85887 33.27772),Barro's Pizza,85286
2222 Dundalk Ave,Fast Food Restaurant,Dundalk,US,39.264906,-76.527427,POINT(-76.527427 39.264906),McDonald's,21222
2222 Dundalk Ave,Fast Food Restaurant Saint Helena,Dundalk,US,39.264906,-76.527427,POINT(-76.527427 39.264906),McDonald's,21222
10 Maryland Ave,Fast Food Restaurant,Crisfield,US,37.991003,-75.844143,POINT(-75.844143 37.991003),McDonald's,21817
7244 Cradlerock Way,Fast Food Restaurant,Columbia,US,39.185679,-76.843415,POINT(-76.843415 39.185679),McDonald's,21045
3176 E Florence Ave,Fast Food Restaurants,Huntington Park,US,33.972702,-118.2106,POINT(-118.2106 33.972702),Pizza Hut,90255
5801 Highway 6,Ice Cream Shop and Fast Food Restaurant,Missouri City,US,29.570079,-95.568166,POINT(-95.568166 29.570079),Dairy Queen,77459
1475 Holiday Ln,Fast food restaurants,Fairfield,US,38.259527,-122.062146,POINT(-122.062146 38.259527),Burger King,94534
6095 Daybreak Cir,Fast Food,Clarksville,US,39.210178,-76.937833,POINT(-76.937833 39.210178),McDonald's,21029
875 Washington Ave,Fast Food Restaurant,Chestertown,US,39.225371,-76.070907,POINT(-76.070907 39.225371),McDonald's,21620
6447 Baltimore National Pike,Fast Food Restaurant,Catonsville,US,39.284946,-76.759683,POINT(-76.759683 39.284946),McDonald's,21228
942 Flatbush Ave,Fast Food Restaurant,Brooklyn,US,40.648476,-73.958572,POINT(-73.958572 40.648476),KFC,11226
4001 N 5th St,Fast Food,Philadelphia,US,40.011978,-75.135868,POINT(-75.135868 40.011978),KFC - Kentucky Fried Chicken,19140
801 Gravenstein Ave,Fast Food Restaurant,Sebastopol,US,38.394035,-122.818689,POINT(-122.818689 38.394035),McDonald's,95472
5001 Mckinney Ranch Pkwy,Fast Food Restaurants,McKinney,US,33.158926,-96.680845,POINT(-96.680845 33.158926),McDonald's,75070
8540 Fm 78,Fast Food Restaurants,Converse,US,29.497846,-98.320015,POINT(-98.320015 29.497846),Long John Silver's,78109
2000 Padre Blvd,Fast Food Restaurants,South Padre Island,US,26.097551,-97.165667,POINT(-97.165667 26.097551),Long John Silver's,78597
6363 Hearne Ave,Fast Food Restaurants,Shreveport,US,32.448789,-93.781072,POINT(-93.781072 32.448789),Burger King,71108
1442 Winchester Ave,Fast Food Restaurants,Ashland,US,38.4791,-82.6411,POINT(-82.6411 38.4791),Fat Patty's,41101
7139 Louetta Rd,Fast Food Restaurants,Spring,US,30.022185,-95.520915,POINT(-95.520915 30.022185),Long John Silver's,77379
167 N Carmalita St,Fast Food Restaurants,Hemet,US,33.74898,-116.969505,POINT(-116.969505 33.74898),Boys Burgers,92543
5617 Saratoga Blvd,Fast Food Restaurant,Corpus Christi,US,27.685067,-97.382946,POINT(-97.382946 27.685067),Long John Silver's,78414
6020 Old Boyce Rd,Fast Food Restaurant,Alexandria,US,31.345107,-92.517004,POINT(-92.517004 31.345107),Burger King,71303
439 John Fitch Hwy,Fast food restaurants,Fitchburg,US,42.582414,-71.775218,POINT(-71.775218 42.582414),Burger King,01420
489 State St,Fast Food Restaurants,Springfield,US,42.108163,-72.576647,POINT(-72.576647 42.108163),Burger King,01109
5938 Highway 167 N,Fast Food Restaurants,Winnfield,US,31.936107,-92.653639,POINT(-92.653639 31.936107),Burger King,71483
1020 E Madison Ave,Fast Food Restaurant,Bastrop,US,32.78127,-91.901043,POINT(-91.901043 32.78127),Burger King,71220
7004 Siegen Ln,Fast Food Restaurant,Baton Rouge,US,30.385667,-91.064558,POINT(-91.064558 30.385667),Burger King,70809
6703 Pines Rd,Fast Food Restaurant,Shreveport,US,32.448172,-93.865242,POINT(-93.865242 32.448172),Burger King,71129
12759 Us Route 60,Fast Food Restaurants,Ashland,US,38.3887,-82.7156,POINT(-82.7156 38.3887),Dairy Queen,41102
2192 S Sherwood Forest Blvd,Fast food restaurants,Baton Rouge,US,30.433078,-91.057839,POINT(-91.057839 30.433078),Burger King,70816
2192 S Sherwood Forest Blvd,Fast Food Restaurant,Baton Rouge,US,30.433078,-91.057839,POINT(-91.057839 30.433078),Burger King,70816
5131 Main St,Fast Food Restaurant,Zachary,US,30.647977,-91.151824,POINT(-91.151824 30.647977),Burger King,70791
3701 Bragg Blvd,Fast Food,Fayetteville,US,35.07857,-78.940747,POINT(-78.940747 35.07857),McDonald's,28303
3701 Bragg Blvd,Fast Food Restaurants,Fayetteville,US,35.07857,-78.940747,POINT(-78.940747 35.07857),McDonald's,28303
4383 La Highway 1 S,Fast Food Restaurants,Port Allen,US,30.406769,-91.229842,POINT(-91.229842 30.406769),Burger King,70767
6728 Kalamazoo Ave SE,Fast Food Restaurant,Grand Rapids,US,42.842144,-85.624731,POINT(-85.624731 42.842144),Taco Bell,49508
943 Creswell Ln,Fast Food Restaurant,Opelousas,US,30.519384,-92.074994,POINT(-92.074994 30.519384),Burger King,70570
2919 S Lewis St,Fast Food Restaurants,New Iberia,US,29.968869,-91.835925,POINT(-91.835925 29.968869),Burger King,70560
2903 N Reynolds Rd,Fast Food Restaurant,Bryant,US,34.621132,-92.498826,POINT(-92.498826 34.621132),Arby's,72022
1439 S US Highway 1,Fast Food Restaurants,Fort Pierce,US,27.4357,-80.326,POINT(-80.326 27.4357),Pizza Hut,34950
18234 Maugans Ave,Fast Food Restaurant,Hagerstown,US,39.691607,-77.738818,POINT(-77.738818 39.691607),Burger King,21740
17532 Valley Mall Rd,Fast Food Restaurant,Hagerstown,US,39.626191,-77.767691,POINT(-77.767691 39.626191),Burger King,21740
10516 Sharpsburg Pike,Fast Food Restaurant,Hagerstown,US,39.600468,-77.729678,POINT(-77.729678 39.600468),Burger King,21740
2811 Chestnut Ridge Rd,Fast Food Restaurant and Burger Joint,Grantsville,US,39.690789,-79.103802,POINT(-79.103802 39.690789),Burger King,21536
1299 National Hwy,Fast Food Restaurants,Cumberland,US,39.637928,-78.832937,POINT(-78.832937 39.637928),Burger King,21502
6 Hampton Inn Dr,Fast Food Restaurants,Frostburg,US,39.642962,-78.909752,POINT(-78.909752 39.642962),Burger King,21532
8022 Liberty Rd,Fast Food Restaurants,Windsor Mill,US,39.353322,-76.755754,POINT(-76.755754 39.353322),Burger King,21244
8022 Liberty Rd,Fast Food Restaurant,Windsor Mill,US,39.353322,-76.755754,POINT(-76.755754 39.353322),Burger King,21244
8304 Pulaski Hwy,Fast food restaurants,Rosedale,US,39.32338,-76.502491,POINT(-76.502491 39.32338),Burger King,21237
8304 Pulaski Hwy,Fast Food Restaurant,Rosedale,US,39.32338,-76.502491,POINT(-76.502491 39.32338),Burger King,21237
12915 Cortez Blvd,"Fast Food Restaurant, American Restaurant, and Sandwich Place",Brooksville,US,28.534187,-82.516103,POINT(-82.516103 28.534187),Arby's,34613
5604 Baltimore National Pike,Fast Food Restaurant,Catonsville,US,39.289591,-76.726646,POINT(-76.726646 39.289591),Burger King,21228
6807 Rolling Mill Rd,Fast Food Restaurants,Baltimore,US,39.297176,-76.529346,POINT(-76.529346 39.297176),Burger King,21224
990 Pulaski Hwy,Fast Food Restaurant,Havre de Grace,US,39.546763,-76.106205,POINT(-76.106205 39.546763),Burger King,21078
14 Mountain Rd,"Fast Food Restaurant, Burger Joint, and American Restaurant",Glen Burnie,US,39.135989,-76.597223,POINT(-76.597223 39.135989),Burger King,21060
12265 Veirs Mill Rd,Fast Food Restaurant,Silver Spring,US,39.05768,-77.084654,POINT(-77.084654 39.05768),Burger King,20906
6505 Annapolis Rd,Fast Food Restaurant,Hyattsville,US,38.939492,-76.906024,POINT(-76.906024 38.939492),Burger King,20784
2208 University Blvd E,Fast Food Restaurants,Hyattsville,US,38.984017,-76.975083,POINT(-76.975083 38.984017),Burger King,20783
2208 University Blvd E,Fast Food Restaurant,Hyattsville,US,38.984017,-76.975083,POINT(-76.975083 38.984017),Burger King,20783
300 W Mcintyre St,Fast Food Restaurants,Mullins,US,34.199497,-79.257733,POINT(-79.257733 34.199497),Baskin-Robbins,29574
1601 W Charleston Blvd,Fast Food,Las Vegas,US,36.158309,-115.162684,POINT(-115.162684 36.158309),McDonald's,89102
11671 Se Federal Hwy,Fast Food Restaurant,Hobe Sound,US,27.06168,-80.13746,POINT(-80.13746 27.06168),McDonald's,33455
2095 Brierley Way,Fast Food,Sparks,US,39.527755,-119.701355,POINT(-119.701355 39.527755),McDonald's,89434
1408 W Craig Rd,Fast Food Restaurant,North Las Vegas,US,36.239482,-115.160893,POINT(-115.160893 36.239482),McDonald's,89032
7851 W Charleston Blvd,Fast Food Restaurant,Las Vegas,US,36.158558,-115.263132,POINT(-115.263132 36.158558),McDonald's,89117
5200 S Fort Apache Rd,Fast Food,Las Vegas,US,36.09383,-115.294615,POINT(-115.294615 36.09383),McDonald's,89148
301 Fremont St,Fast Food,Las Vegas,US,36.169828,-115.142841,POINT(-115.142841 36.169828),McDonald's,89101
1501 W Lake Mead Blvd,Fast Food Restaurant and American Restaurant,Las Vegas,US,36.195232,-115.161299,POINT(-115.161299 36.195232),McDonald's,89106
1501 W Lake Mead Blvd,Fast Food Restaurant,Las Vegas,US,36.195232,-115.161299,POINT(-115.161299 36.195232),McDonald's,89106
4300 Meadows Ln,Fast Food Restaurants,Las Vegas,US,36.172774,-115.20044,POINT(-115.20044 36.172774),McDonald's,89107
4215 Las Vegas Blvd N,Fast Food Restaurant Nellis Air Force Base,Las Vegas,US,36.236888,-115.061636,POINT(-115.061636 36.236888),McDonald's,89115
3626 S Rainbow Blvd,Fast Food Restaurant,Las Vegas,US,36.123133,-115.242839,POINT(-115.242839 36.123133),McDonald's,89103
8792 Navarre Pkwy,Burger Joint and Fast Food Restaurant Gulf Breeze,Navarre,US,30.403772,-86.85506,POINT(-86.85506 30.403772),Culver's,32566
2513 E Owens Ave,Fast Food Restaurant and Burger Joint,North Las Vegas,US,36.188148,-115.115191,POINT(-115.115191 36.188148),McDonald's,89030
4945 W Flamingo Rd,Fast Food Restaurants,Las Vegas,US,36.114851,-115.209048,POINT(-115.209048 36.114851),McDonald's,89103
6020 W Tropicana Ave,Fast Food Restaurants,Las Vegas,US,36.100467,-115.224087,POINT(-115.224087 36.100467),McDonald's,89103
4321 W Flamingo Rd,Fast Food Restaurant,Las Vegas,US,36.114523,-115.195934,POINT(-115.195934 36.114523),McDonald's,89103
3815 S Maryland Pkwy,Fast Food Restaurant,Las Vegas,US,36.119881,-115.138031,POINT(-115.138031 36.119881),McDonald's,89119
4400 E Charleston Blvd,Fast Food Restaurants,Las Vegas,US,36.159167,-115.079606,POINT(-115.079606 36.159167),McDonald's,89104
201 N Nellis Blvd,Fast Food Restaurant,Las Vegas,US,36.164519,-115.06323,POINT(-115.06323 36.164519),McDonald's,89110
2886 S Nellis Blvd,Fast Food Restaurants,Las Vegas,US,36.137324,-115.064924,POINT(-115.064924 36.137324),McDonald's,89121
5198 Boulder Hwy,Fast Food,Las Vegas,US,36.111142,-115.062752,POINT(-115.062752 36.111142),McDonald's,89122
4934 Boulder Hwy,Fast Food,Las Vegas,US,36.113844,-115.066665,POINT(-115.066665 36.113844),McDonald's,89121
825 E 49th St,Fast food restaurants,Hialeah,US,25.867613,-80.266376,POINT(-80.266376 25.867613),Burger King,33013
4934 Boulder Hwy,Fast Food Restaurant,Las Vegas,US,36.113844,-115.066665,POINT(-115.066665 36.113844),McDonald's,89121
540 Marks St,Fast Food Restaurants,Henderson,US,36.061115,-115.033495,POINT(-115.033495 36.061115),McDonald's,89014
1237 Nevada Hwy,Fast Food Restaurant,Boulder City,US,35.971334,-114.849553,POINT(-114.849553 35.971334),McDonald's,89005
535 E Idaho St,Fast Food Restaurant,Kalispell,US,48.203448,-114.307145,POINT(-114.307145 48.203448),Taco Bell,59901
1601 3rd St NW,Fast Food Restaurant,Great Falls,US,47.521028,-111.308274,POINT(-111.308274 47.521028),Taco Bell,59404
3051 Highway 80 E,Fast Food Restaurant,Pearl,US,32.282241,-90.118333,POINT(-90.118333 32.282241),Taco Bell,39208
614 S State St,Fast Food Restaurants,Clarksdale,US,34.189784,-90.577591,POINT(-90.577591 34.189784),Taco Bell,38614
1003 W University Ave,Fast Food Restaurant,Urbana,US,40.116302,-88.220945,POINT(-88.220945 40.116302),Taco Bell,61801
1676 S 4th Ave,Fast Food Restaurant,Yuma,US,32.697157,-114.624638,POINT(-114.624638 32.697157),Taco Bell,85364
7915 N Oracle Rd,Fast Food Restaurants,Tucson,US,32.350373,-110.97579,POINT(-110.97579 32.350373),Taco Bell,85704
2750 W 68th St Ste 104,Fast Food,Hialeah,US,25.882938,-80.33868,POINT(-80.33868 25.882938),Pizza Hut,33016
8270 N Cortaro Rd,Fast Food Restaurant and Mexican Restaurant,Tucson,US,32.356885,-111.091432,POINT(-111.091432 32.356885),Taco Bell,85743
